Date,Open,High,Low,Close,Adj Close,Volume
2024-03-11,0.066000,0.066200,0.066000,0.066200,-44.793587,0
2024-03-12,0.066000,0.066200,0.066000,0.066200,-44.793587,0
2024-03-13,0.067300,0.067300,0.066900,0.066900,-45.267235,0
2024-03-14,0.066100,0.066600,0.066100,0.066200,-44.793587,0
2024-03-15,0.066900,0.066900,0.066600,0.066600,-45.064243,0
2024-03-18,0.075300,0.075300,0.075300,0.075300,-50.951012,15000
2024-03-19,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-20,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-21,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-22,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-25,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-26,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-27,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-03-28,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-04-02,0.075300,0.075300,0.075300,0.075300,-50.951012,0
2024-04-03,0.064000,0.064000,0.064000,0.064000,-43.304977,0
2024-04-04,0.065500,0.065500,0.065000,0.065500,-44.319935,0
2024-04-05,0.065500,0.066000,0.065500,0.066000,-44.658257,0
2024-04-08,0.066000,0.066000,0.066000,0.066000,-44.658257,0
2024-04-09,0.065500,0.065500,0.065500,0.065500,-44.319935,0
2024-04-10,0.066000,0.066000,0.066000,0.066000,-44.658257,0
2024-04-11,0.066500,0.066500,0.066500,0.066500,-44.996578,0
2024-04-12,0.066500,0.067000,0.066500,0.067000,-45.334900,0
2024-04-15,0.067000,0.067000,0.067000,0.067000,-45.334900,0
2024-04-16,0.066000,0.066000,0.066000,0.066000,-44.658257,0
2024-04-17,0.067500,0.067500,0.066500,0.066500,-44.996578,0
2024-04-18,0.068000,0.068000,0.067500,0.068000,-46.011539,0
2024-04-19,0.066000,0.067000,0.066000,0.067000,-45.334900,0
2024-04-22,0.066500,0.066500,0.066000,0.066500,-44.996578,0
2024-04-23,0.066000,0.066000,0.065500,0.066000,-44.658257,0
2024-04-24,0.065500,0.066000,0.065500,0.066000,-44.658257,0
2024-04-25,0.066500,0.067000,0.066500,0.067000,-45.334900,0
2024-04-26,0.066500,0.066500,0.065500,0.065500,-44.319935,0
2024-04-29,0.065000,0.066000,0.065000,0.066000,-44.658257,0
2024-04-30,0.067000,0.067000,0.066500,0.066500,-44.996578,0
2024-05-02,0.066000,0.066000,0.066000,0.066000,-44.658257,0
2024-05-03,0.067000,0.067000,0.066500,0.066500,-44.996578,0
2024-05-06,0.072000,0.073500,0.071500,0.073500,-49.733059,0
2024-05-07,0.073000,0.073000,0.071500,0.071500,-48.379780,0
2024-05-08,0.072500,0.072500,0.072500,0.072500,-49.056416,0
2024-05-09,0.072500,0.072500,0.072500,0.072500,-49.056416,0
2024-05-10,0.072500,0.072500,0.072500,0.072500,-49.056416,0
2024-05-13,0.069500,0.069500,0.069000,0.069000,-46.688175,0
2024-05-14,0.069000,0.069000,0.069000,0.069000,-46.688175,0
